Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ss_Plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-06 16:52:39 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E10,Fe_T2_R1_Ss_S5-25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,Y,Y,Y
E10,Fe_T2_R1_Ss_S5-25,D,UNKNOWN,FAM,NFQ-MGB,34.6233863831,34.0312728882,0.8373749256,,,,1,0.02,1,3,33,,Y,Y,Y
E11,Fe_T2_R1_Ss_S6-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E11,Fe_T2_R1_Ss_S6-1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E12,Fe_T2_R1_Ss_S6-12,C,UNKNOWN,VIC,NFQ-MGB,36.1628684998,36.1628684998,,,,,1,0.02,1,3,34,,Y,N,N
E12,Fe_T2_R1_Ss_S6-12,D,UNKNOWN,FAM,NFQ-MGB,30.8961238861,30.075258255,1.1608792543,,,,1,0.02,1,3,29,,Y,N,N
F1,Fe_T2_R1_Ss_S1-6,C,UNKNOWN,VIC,NFQ-MGB,29.1639461517,28.9183959961,0.3472603559,,,,1,0.02,1,3,27,,N,N,N
F1,Fe_T2_R1_Ss_S1-6,D,UNKNOWN,FAM,NFQ-MGB,28.9369773865,29.1375732422,0.2836840451,,,,1,0.02,1,3,27,,N,N,N
F2,Fe_T2_R1_Ss_S1-9,C,UNKNOWN,VIC,NFQ-MGB,29.7351284027,29.5863685608,0.2103768438,,,,1,0.02,1,3,28,,Y,N,N
F2,Fe_T2_R1_Ss_S1-9,D,UNKNOWN,FAM,NFQ-MGB,29.4593544006,28.9234619141,0.7578650713,,,,1,0.02,1,3,27,,Y,N,N
