Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate20.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 14:30:25 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E9,CO2_T0_R1_Ss_S4-5,Ssid,UNKNOWN,FAM,NFQ-MGB,19.9618549347,19.8910522461,0.1001314744,,,,1,0.02,1,3,17,,N,N,N
E10,CO2_T0_R1_Ss_S4-5,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8202476501,19.8910522461,0.1001314744,,,,1,0.02,1,3,17,,N,N,N
E11,CO2_T0_R1_Ss_S4-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.7874565125,,,,,0,0.02,1,3,39,,N,Y,Y
E12,CO2_T0_R1_Ss_S4-5,B,UNKNOWN,FAM,NFQ-MGB,39.7874565125,39.7874565125,,,,,0,0.02,1,3,35,,N,N,N
F1,N_T1_R2_Ss_S3-30,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.8545684814,,,,,0,0.02,1,3,39,,N,N,Y
F2,N_T1_R2_Ss_S3-30,B,UNKNOWN,FAM,NFQ-MGB,37.8545684814,37.8545684814,,,,,0,0.02,1,3,35,,N,N,N
F3,N_T1_R2_Ss_S3-30,Ssid,UNKNOWN,FAM,NFQ-MGB,23.2236804962,23.2016906738,0.0310983043,,,,1,0.02,1,3,21,,N,N,N
F4,N_T1_R2_Ss_S3-30,Ssid,UNKNOWN,FAM,NFQ-MGB,23.1797008514,23.2016906738,0.0310983043,,,,1,0.02,1,3,21,,N,N,N
F5,N_T1_R2_Ss_S3-30,C,UNKNOWN,VIC,NFQ-MGB,29.8099269867,29.8835678101,0.1041438505,,,,1,0.02,1,3,28,,N,N,N
F5,N_T1_R2_Ss_S3-30,D,UNKNOWN,FAM,NFQ-MGB,26.9101047516,27.0461540222,0.1924027205,,,,1,0.02,1,3,25,,N,N,N
F6,N_T1_R2_Ss_S3-30,C,UNKNOWN,VIC,NFQ-MGB,29.9572086334,29.8835678101,0.1041438505,,,,1,0.02,1,3,28,,N,N,N
F6,N_T1_R2_Ss_S3-30,D,UNKNOWN,FAM,NFQ-MGB,27.1822032928,27.0461540222,0.1924027205,,,,1,0.02,1,3,25,,N,N,N
F7,CO2_T0_R1_Ss_S4-23,C,UNKNOWN,VIC,NFQ-MGB,24.9584960938,25.2837924957,0.4600385725,,,,1,0.02,1,3,23,,N,N,N
F7,CO2_T0_R1_Ss_S4-23,D,UNKNOWN,FAM,NFQ-MGB,24.1865234375,24.5138244629,0.4628722072,,,,1,0.02,1,3,22,,N,N,N
F8,CO2_T0_R1_Ss_S4-23,C,UNKNOWN,VIC,NFQ-MGB,25.6090888977,25.2837924957,0.4600385725,,,,1,0.02,1,3,24,,N,N,N
F8,CO2_T0_R1_Ss_S4-23,D,UNKNOWN,FAM,NFQ-MGB,24.8411235809,24.5138244629,0.4628722072,,,,1,0.02,1,3,23,,N,N,N
F9,CO2_T0_R1_Ss_S4-23,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7309093475,21.0091896057,0.3935477138,,,,1,0.02,1,3,18,,N,N,N
F10,CO2_T0_R1_Ss_S4-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2874698639,21.0091896057,0.3935477138,,,,1,0.02,1,3,18,,N,N,N
F11,CO2_T0_R1_Ss_S4-23,B,UNKNOWN,FAM,NFQ-MGB,39.8753738403,39.8753738403,,,,,0,0.02,1,3,35,,N,N,N
F12,CO2_T0_R1_Ss_S4-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.8753738403,,,,,0,0.02,1,3,39,,N,Y,Y
G1,N_T1_R2_Ss_S4-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G2,N_T1_R2_Ss_S4-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G3,N_T1_R2_Ss_S4-7,Ssid,UNKNOWN,FAM,NFQ-MGB,22.1100711823,22.36876297,0.3658454418,,,,1,0.02,1,3,20,,N,N,N
G4,N_T1_R2_Ss_S4-7,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6274547577,22.36876297,0.3658454418,,,,1,0.02,1,3,20,,N,N,N
G5,N_T1_R2_Ss_S4-7,C,UNKNOWN,VIC,NFQ-MGB,26.2412452698,26.36369133,0.1731648743,,,,1,0.02,1,3,25,,N,N,N
G5,N_T1_R2_Ss_S4-7,D,UNKNOWN,FAM,NFQ-MGB,27.8010215759,27.7030296326,0.1385815293,,,,1,0.02,1,3,26,,N,N,N
