Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 15:26:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
D5,C_T0_R2_Ss_S2-10,D,UNKNOWN,FAM,NFQ-MGB,25.2252178192,25.0026187897,0.3148025572,,,,0,0.02,1,3,23,,N,N,N
D6,C_T0_R2_Ss_S2-10,C,UNKNOWN,VIC,NFQ-MGB,34.237033844,34.216758728,0.0286733434,,,,0,0.02,1,3,33,,N,N,N
D6,C_T0_R2_Ss_S2-10,D,UNKNOWN,FAM,NFQ-MGB,24.7800197601,25.0026187897,0.3148025572,,,,0,0.02,1,3,23,,N,N,N
D7,C_T0_R2_Ss_S6-26,C,UNKNOWN,VIC,NFQ-MGB,34.5187835693,33.4344329834,1.5335060358,,,,0,0.02,1,3,34,,Y,N,N
D7,C_T0_R2_Ss_S6-26,D,UNKNOWN,FAM,NFQ-MGB,23.3415794373,23.358423233,0.0238207243,,,,0,0.02,1,3,21,,Y,N,N
D8,C_T0_R2_Ss_S6-26,C,UNKNOWN,VIC,NFQ-MGB,32.3500785828,33.4344329834,1.5335060358,,,,0,0.02,1,3,31,,Y,N,N
D8,C_T0_R2_Ss_S6-26,D,UNKNOWN,FAM,NFQ-MGB,23.3752670288,23.358423233,0.0238207243,,,,0,0.02,1,3,22,,Y,N,N
D9,C_T0_R2_Ss_S6-26,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2887496948,21.0378055573,0.3548885882,,,,0,0.02,1,3,18,,N,N,N
D10,C_T0_R2_Ss_S6-26,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7868614197,21.0378055573,0.3548885882,,,,0,0.02,1,3,18,,N,N,N
D11,C_T0_R2_Ss_S6-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D12,C_T0_R2_Ss_S6-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
